country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Brazil,BR,2026-02-01,TV,10,Bridgerton,Bridgerton: Season 3,10
Brazil,BR,2026-01-25,TV,1,HIS & HERS,HIS & HERS: Limited Series,3
Brazil,BR,2026-01-25,TV,2,Can This Love Be Translated?,Can This Love Be Translated?: Limited Series,2
Brazil,BR,2026-01-25,TV,3,Sandokan: The Pirate Prince,Sandokan: The Pirate Prince: Season 1,1
Brazil,BR,2026-01-25,TV,4,Finding Her Edge,Finding Her Edge: Season 1,1
Brazil,BR,2026-01-25,TV,5,Agatha Christie's Seven Dials,Agatha Christie's Seven Dials: Season 1,2
Brazil,BR,2026-01-25,TV,6,Single’s Inferno,Single’s Inferno: Season 5,1
Brazil,BR,2026-01-25,TV,7,The Good Doctor,The Good Doctor: Season 1,3
Brazil,BR,2026-01-25,TV,8,The Good Doctor,The Good Doctor: Season 2,2
Brazil,BR,2026-01-25,TV,9,No Tail to Tell,No Tail to Tell: Limited Series,2
Brazil,BR,2026-01-25,TV,10,The Rookie,The Rookie: Season 7,2
Brazil,BR,2026-01-18,TV,1,HIS & HERS,HIS & HERS: Limited Series,2
Brazil,BR,2026-01-18,TV,2,The Good Doctor,The Good Doctor: Season 1,2
Brazil,BR,2026-01-18,TV,3,Agatha Christie's Seven Dials,Agatha Christie's Seven Dials: Season 1,1
Brazil,BR,2026-01-18,TV,4,The Rookie,The Rookie: Season 7,1
Brazil,BR,2026-01-18,TV,5,Can This Love Be Translated?,Can This Love Be Translated?: Limited Series,1
Brazil,BR,2026-01-18,TV,6,The Good Doctor,The Good Doctor: Season 2,1
Brazil,BR,2026-01-18,TV,7,Stranger Things,Stranger Things 5,8
Brazil,BR,2026-01-18,TV,8,Run Away,Run Away: Limited Series,3
Brazil,BR,2026-01-18,TV,9,No Tail to Tell,No Tail to Tell: Limited Series,1
Brazil,BR,2026-01-18,TV,10,Sheriff Labrador,Sheriff Labrador: Season 1,2
Brazil,BR,2026-01-11,TV,1,The Good Doctor,The Good Doctor: Season 1,1
Brazil,BR,2026-01-11,TV,2,HIS & HERS,HIS & HERS: Limited Series,1
Brazil,BR,2026-01-11,TV,3,Run Away,Run Away: Limited Series,2
Brazil,BR,2026-01-11,TV,4,Stranger Things,Stranger Things 5,7
Brazil,BR,2026-01-11,TV,5,My Korean Boyfriend,My Korean Boyfriend: Season 1,2
Brazil,BR,2026-01-11,TV,6,Stranger Things,,15
Brazil,BR,2026-01-11,TV,7,Emily in Paris,Emily in Paris: Season 5,4
Brazil,BR,2026-01-11,TV,8,Stranger Things,Stranger Things 3,12
Brazil,BR,2026-01-11,TV,9,Stranger Things,Stranger Things 2,13
Brazil,BR,2026-01-11,TV,10,Stranger Things,Stranger Things 4,15
Brazil,BR,2026-01-04,TV,1,Stranger Things,Stranger Things 5,6
Brazil,BR,2026-01-04,TV,2,Run Away,Run Away: Limited Series,1
Brazil,BR,2026-01-04,TV,3,Stranger Things,,14
Brazil,BR,2026-01-04,TV,4,Emily in Paris,Emily in Paris: Season 5,3
Brazil,BR,2026-01-04,TV,5,My Korean Boyfriend,My Korean Boyfriend: Season 1,1
Brazil,BR,2026-01-04,TV,6,Cashero,Cashero: Limited Series,2
Brazil,BR,2026-01-04,TV,7,Land of Sin,Land of Sin: Limited Series,1
Brazil,BR,2026-01-04,TV,8,Stranger Things,Stranger Things 2,12
Brazil,BR,2026-01-04,TV,9,Stranger Things,Stranger Things 3,11
Brazil,BR,2026-01-04,TV,10,Stranger Things,Stranger Things 4,14
Brazil,BR,2025-12-28,TV,1,Stranger Things,Stranger Things 5,5
Brazil,BR,2025-12-28,TV,2,Emily in Paris,Emily in Paris: Season 5,2
Brazil,BR,2025-12-28,TV,3,Dynamite Kiss,Dynamite Kiss: Limited Series,7
Brazil,BR,2025-12-28,TV,4,Stranger Things,,13
Brazil,BR,2025-12-28,TV,5,Cashero,Cashero: Limited Series,1
Brazil,BR,2025-12-28,TV,6,Call Me Bruna,Call Me Bruna: Season 1,1
Brazil,BR,2025-12-28,TV,7,Man Vs Baby,Man Vs Baby: Season 1,3
Brazil,BR,2025-12-28,TV,8,Evermore,Evermore: Season 1,2
Brazil,BR,2025-12-28,TV,9,Stranger Things,Stranger Things 4,13
Brazil,BR,2025-12-28,TV,10,Rulers of Fortune,Rulers of Fortune: Season 1,9
Brazil,BR,2025-12-21,TV,1,Emily in Paris,Emily in Paris: Season 5,1
Brazil,BR,2025-12-21,TV,2,Man Vs Baby,Man Vs Baby: Season 1,2
Brazil,BR,2025-12-21,TV,3,Dynamite Kiss,Dynamite Kiss: Limited Series,6
Brazil,BR,2025-12-21,TV,4,Stranger Things,Stranger Things 5,4
Brazil,BR,2025-12-21,TV,5,Sheriff Labrador,Sheriff Labrador: Season 1,1
Brazil,BR,2025-12-21,TV,6,Stranded with my Mother-in-Law,Stranded with my Mother-in-Law: Season 3,3
Brazil,BR,2025-12-21,TV,7,Evermore,Evermore: Season 1,1
Brazil,BR,2025-12-21,TV,8,The Hunting Wives,The Hunting Wives: Season 1,1
Brazil,BR,2025-12-21,TV,9,Rulers of Fortune,Rulers of Fortune: Season 1,8
