country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Brazil,BR,2026-01-11,Films,8,Legally Blonde,,1
Brazil,BR,2026-01-11,Films,9,The SpongeBob Movie: Sponge Out of Water,,2
Brazil,BR,2026-01-11,Films,10,KPop Demon Hunters,,23
Brazil,BR,2026-01-04,Films,1,The Great Flood,,3
Brazil,BR,2026-01-04,Films,2,Me Before You,,1
Brazil,BR,2026-01-04,Films,3,Against the Wild: The Journey Home,,2
Brazil,BR,2026-01-04,Films,4,The SpongeBob Movie: Sponge Out of Water,,1
Brazil,BR,2026-01-04,Films,5,Gone Baby Gone,,2
Brazil,BR,2026-01-04,Films,6,Bang,,5
Brazil,BR,2026-01-04,Films,7,Dr. Seuss' The Grinch,,10
Brazil,BR,2026-01-04,Films,8,Kung Fu Panda 4,,2
Brazil,BR,2026-01-04,Films,9,Uptown Girls,,1
Brazil,BR,2026-01-04,Films,10,Goodbye June,,1
Brazil,BR,2025-12-28,Films,1,The Great Flood,,2
Brazil,BR,2025-12-28,Films,2,Dr. Seuss' The Grinch,,9
Brazil,BR,2025-12-28,Films,3,Kung Fu Panda 4,,1
Brazil,BR,2025-12-28,Films,4,Tomb Raider,,1
Brazil,BR,2025-12-28,Films,5,The Killer,,2
Brazil,BR,2025-12-28,Films,6,How the Grinch Stole Christmas,,3
Brazil,BR,2025-12-28,Films,7,Bang,,4
Brazil,BR,2025-12-28,Films,8,The Croods: A New Age,,7
Brazil,BR,2025-12-28,Films,9,Against the Wild: The Journey Home,,1
Brazil,BR,2025-12-28,Films,10,A Time For Bravery,,1
Brazil,BR,2025-12-21,Films,1,The Great Flood,,1
Brazil,BR,2025-12-21,Films,2,The Croods: A New Age,,6
Brazil,BR,2025-12-21,Films,3,The Killer,,1
Brazil,BR,2025-12-21,Films,4,Wake Up Dead Man: A Knives Out Mystery,,2
Brazil,BR,2025-12-21,Films,5,Bang,,3
Brazil,BR,2025-12-21,Films,6,The Dark Knight,,1
Brazil,BR,2025-12-21,Films,7,Dr. Seuss' The Grinch,,8
Brazil,BR,2025-12-21,Films,8,My Secret Santa,,3
Brazil,BR,2025-12-21,Films,9,Scooby-Doo,,1
Brazil,BR,2025-12-21,Films,10,KPop Demon Hunters,,22
Brazil,BR,2025-12-14,Films,1,Bang,,2
Brazil,BR,2025-12-14,Films,2,Death Wish (2018),,1
Brazil,BR,2025-12-14,Films,3,My Secret Santa,,2
Brazil,BR,2025-12-14,Films,4,Wake Up Dead Man: A Knives Out Mystery,,1
Brazil,BR,2025-12-14,Films,5,Troll 2,,2
Brazil,BR,2025-12-14,Films,6,Ferdinand,,8
Brazil,BR,2025-12-14,Films,7,The Croods: A New Age,,5
Brazil,BR,2025-12-14,Films,8,It Chapter Two,,2
Brazil,BR,2025-12-14,Films,9,Land of Bad,,2
Brazil,BR,2025-12-14,Films,10,The Book of Life,,3
Brazil,BR,2025-12-07,Films,1,Troll 2,,1
Brazil,BR,2025-12-07,Films,2,Bang,,1
Brazil,BR,2025-12-07,Films,3,Land of Bad,,1
Brazil,BR,2025-12-07,Films,4,My Secret Santa,,1
Brazil,BR,2025-12-07,Films,5,The Call of the Wild,,1
Brazil,BR,2025-12-07,Films,6,Ferdinand,,7
Brazil,BR,2025-12-07,Films,7,Jingle Bell Heist,,2
Brazil,BR,2025-12-07,Films,8,Garfield,,1
Brazil,BR,2025-12-07,Films,9,It Chapter Two,,1
Brazil,BR,2025-12-07,Films,10,The Peanuts Movie,,1
Brazil,BR,2025-11-30,Films,1,Jingle Bell Heist,,1
Brazil,BR,2025-11-30,Films,2,Champagne Problems,,2
Brazil,BR,2025-11-30,Films,3,A Man Called Otto,,2
Brazil,BR,2025-11-30,Films,4,Journey 2: The Mysterious Island,,1
Brazil,BR,2025-11-30,Films,5,Hostile Takeover,,1
Brazil,BR,2025-11-30,Films,6,Train Dreams,,1
Brazil,BR,2025-11-30,Films,7,65,,2
Brazil,BR,2025-11-30,Films,8,In Your Dreams,,3
Brazil,BR,2025-11-30,Films,9,Frankenstein,,4
Brazil,BR,2025-11-30,Films,10,Journey to the Center of the Earth,,1
Brazil,BR,2025-11-23,Films,1,Champagne Problems,,1
